goos: darwin
goarch: arm64
pkg: github.com/mateothegreat/go-validation
cpu: Apple M1 Max
BenchmarkValidationSuite/Standard/Range_Int_Valid_Size0_Conc1-10         	348008076	         3.418 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Standard/Range_Int_Invalid_Size0_Conc1-10       	 7281372	       167.1 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Standard/Range_Int64_Valid_Size0_Conc1-10       	326973248	         3.365 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Standard/Range_Int64_Invalid_Size0_Conc1-10     	 7271366	       166.7 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Standard/Range_Float64_Valid_Size0_Conc1-10     	354977992	         3.394 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Standard/Range_Float64_Invalid_Size0_Conc1-10   	 4577847	       264.3 ns/op	     112 B/op	       5 allocs/op
BenchmarkValidationSuite/Standard/StringLength_MinLen_Valid_Size0_Conc1-10         	273255126	         4.387 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Standard/StringLength_MinLen_Invalid_Size0_Conc1-10       	 8669653	       135.9 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Standard/StringLength_MaxLen_Valid_Size0_Conc1-10         	306319890	         4.028 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Standard/StringLength_MaxLen_Invalid_Size0_Conc1-10       	 8991825	       132.1 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Standard/Characteristic_Alpha_Valid_Size0_Conc1-10        	131105247	         8.722 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Standard/Characteristic_Alpha_Invalid_Size0_Conc1-10      	 9981550	       119.9 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Standard/Characteristic_AlphaNumeric_Valid_Size0_Conc1-10 	68139068	        18.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Standard/Characteristic_AlphaNumeric_Invalid_Size0_Conc1-10         	 9611655	       131.7 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Standard/Characteristic_Numeric_Valid_Size0_Conc1-10                	138408682	         8.672 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Standard/Characteristic_Numeric_Invalid_Size0_Conc1-10              	10240516	       114.7 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Standard/OneOf_Valid_Size0_Conc1-10                                 	232016822	         5.166 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Standard/OneOf_Invalid_Size0_Conc1-10                               	 3762319	       338.0 ns/op	     200 B/op	       8 allocs/op
BenchmarkValidationSuite/Standard/Factory_Range_Cached_Size0_Conc1-10                        	25130780	        48.09 ns/op	      24 B/op	       1 allocs/op
BenchmarkValidationSuite/Standard/Factory_StringLen_Cached_Size0_Conc1-10                    	25236260	        47.76 ns/op	      16 B/op	       1 allocs/op
BenchmarkValidationSuite/Standard/MultiField_5Fields_Size0_Conc1-10                          	 1411293	       849.1 ns/op	     320 B/op	      15 allocs/op
BenchmarkValidationSuite/Standard/MultiField_10Fields_Size0_Conc1-10                         	  605114	      1932 ns/op	    1256 B/op	      33 allocs/op
BenchmarkValidationSuite/Standard/MultiField_20Fields_Size0_Conc1-10                         	  292311	      4137 ns/op	    3081 B/op	      65 allocs/op
BenchmarkValidationSuite/Scaling/Range_Int_Valid_Size10_Size10_Conc1-10                      	352908003	         3.428 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Range_Int_Valid_Size100_Size100_Conc1-10                    	344163118	         3.456 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Range_Int_Valid_Size1000_Size1000_Conc1-10                  	351332151	         3.421 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Range_Int_Valid_Size10000_Size10000_Conc1-10                	343860477	         3.511 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Range_Int_Valid_Size100000_Size100000_Conc1-10              	348314948	         3.550 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Range_Int_Invalid_Size10_Size10_Conc1-10                    	 7021610	       176.9 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/Range_Int_Invalid_Size100_Size100_Conc1-10                  	 7028958	       169.4 ns/op	      96 B/op	       3 allocs/op
